"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"EROSMEDIA","EQ","28-Dec-2015","        254.15","        254.95","        257.75","        252.00","        253.10","        253.10","        254.68","     400653","           102038132.20","       7137","     122487","         30.57"
"EROSMEDIA","EQ","29-Dec-2015","        253.10","        254.60","        254.60","        247.75","        248.30","        248.70","        250.07","     511601","           127935303.30","       9136","     140563","         27.48"
"EROSMEDIA","EQ","30-Dec-2015","        248.70","        249.00","        249.75","        241.05","        242.25","        241.85","        244.07","     483282","           117954756.30","       8758","     159132","         32.93"
"EROSMEDIA","EQ","31-Dec-2015","        241.85","        241.80","        244.75","        240.00","        240.80","        240.70","        242.19","     363957","            88145517.15","       6585","     100263","         27.55"
"EROSMEDIA","EQ","01-Jan-2016","        240.70","        240.40","        246.90","        238.10","        243.50","        241.45","        242.28","     395675","            95862321.75","       7713","     117040","         29.58"
"EROSMEDIA","EQ","04-Jan-2016","        241.45","        240.00","        243.70","        235.00","        240.00","        239.30","        239.83","     516976","           123985682.95","      11711","     151525","         29.31"
"EROSMEDIA","EQ","05-Jan-2016","        239.30","        244.70","        248.00","        242.60","        245.90","        245.45","        245.06","     598175","           146589787.40","      13164","     164617","         27.52"
"EROSMEDIA","EQ","06-Jan-2016","        245.45","        245.90","        246.90","        238.70","        243.95","        242.25","        243.43","     283282","            68959430.85","       7425","      97295","         34.35"
"EROSMEDIA","EQ","07-Jan-2016","        242.25","        235.60","        237.95","        229.00","        229.35","        230.00","        232.43","     360512","            83794471.45","       7876","     168356","         46.70"
"EROSMEDIA","EQ","08-Jan-2016","        230.00","        232.00","        243.00","        227.95","        235.15","        236.90","        237.12","     728978","           172852751.25","      14658","     170577","         23.40"
"EROSMEDIA","EQ","11-Jan-2016","        236.90","        231.00","        236.70","        228.65","        229.50","        230.10","        232.20","     297251","            69021025.35","       7963","     109200","         36.74"
"EROSMEDIA","EQ","12-Jan-2016","        230.10","        231.00","        236.40","        224.00","        225.70","        226.40","        229.58","     342982","            78742449.25","       8923","     120344","         35.09"
"EROSMEDIA","EQ","13-Jan-2016","        226.40","        228.50","        231.50","        205.55","        212.20","        212.65","        215.00","     912149","           196110722.45","      17949","     354959","         38.91"
"EROSMEDIA","EQ","14-Jan-2016","        212.65","        204.00","        215.00","        203.00","        204.65","        205.15","        207.71","     633786","           131643072.25","      16252","     221202","         34.90"
"EROSMEDIA","EQ","15-Jan-2016","        205.15","        209.70","        212.70","        200.10","        201.80","        202.65","        207.18","     500077","           103606483.95","       9346","     206737","         41.34"
"EROSMEDIA","EQ","18-Jan-2016","        202.65","        201.00","        203.45","        179.05","        179.50","        181.10","        189.34","     656560","           124314665.25","      17660","     321236","         48.93"
"EROSMEDIA","EQ","19-Jan-2016","        181.10","        181.15","        183.90","        168.40","        176.80","        176.20","        175.54","     746900","           131110027.80","      12176","     228451","         30.59"
"EROSMEDIA","EQ","20-Jan-2016","        176.20","        170.00","        174.00","        160.85","        164.75","        165.20","        167.52","     673997","           112905438.15","      13261","     279951","         41.54"
"EROSMEDIA","EQ","21-Jan-2016","        165.20","        169.90","        172.00","        163.40","        169.00","        168.35","        168.11","     612756","           103013265.10","       8407","     226461","         36.96"
"EROSMEDIA","EQ","22-Jan-2016","        168.35","        172.10","        179.80","        170.45","        174.50","        174.30","        175.46","     531284","            93220727.35","       8816","     149652","         28.17"
"EROSMEDIA","EQ","25-Jan-2016","        174.30","        175.50","        185.95","        175.50","        180.90","        180.60","        180.98","     662631","           119919907.60","      15022","     204633","         30.88"
"EROSMEDIA","EQ","27-Jan-2016","        180.60","        182.00","        184.50","        177.80","        178.85","        178.95","        180.26","     311766","            56197709.85","       6612","      72120","         23.13"
"EROSMEDIA","EQ","28-Jan-2016","        178.95","        180.35","        181.80","        174.60","        178.50","        177.85","        178.06","     292514","            52085695.15","       5426","     126734","         43.33"
"EROSMEDIA","EQ","29-Jan-2016","        177.85","        177.80","        180.50","        168.00","        168.55","        169.40","        171.56","     620233","           106406279.40","      12472","     316112","         50.97"
